,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,due_in_date,invoice_currency,total_open_amount,baseline_create_date,cust_payment_terms,isOpen,U001,U002,U005,U007,U013,cust_PT_mean_delay,NC_mean_delay,CN_mean_delay,BC_mean_Delay,Delay,Aging Bucket,predicted_payment _date
4,U001,0200759878,SA llc,,2020.0,1930780581.0,2020-04-16,2020-04-13,2020-05-01,USD,13603.02,2020-04-16,NAH4,1,1,0,0,0,0,-1.8744432862693072,0.2265625,1.056710775047259,0.5515259611573523,1,0-15 Days Delay,2020-05-02
5,U001,0200744019,TARG trust,,2020.0,1930873587.0,2020-05-07,2020-05-07,2020-05-22,USD,4668.4,2020-05-07,NAA8,1,1,0,0,0,0,1.2996695966585625,2.472972972972973,1.9760403530895334,0.5515259611573523,1,0-15 Days Delay,2020-05-23
17,U001,200793513,KROGER associates,,2020.0,1930845581.0,2020-05-06,2020-05-02,2020-05-21,USD,16300.46,2020-05-06,NAA8,1,1,0,0,0,0,1.2996695966585625,0.8103448275862069,0.8333333333333334,0.5515259611573523,0,0-15 Days Delay,2020-05-21
19,U001,0200769623,WAL-MAR us,,2020.0,1930712078.0,2020-03-28,2020-03-27,2020-04-12,USD,55378.54,2020-03-28,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.125,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-04-11
29,U001,0200762301,C&S WH ,,2020.0,1930837542.0,2020-04-29,2020-04-29,2020-05-14,USD,15377.05,2020-04-29,NAC6,1,1,0,0,0,0,0.8525096525096525,-0.8979591836734694,-0.24568965517241378,0.5515259611573523,0,0-15 Days Delay,2020-05-14
32,U001,0200769623,WAL-MAR systems,,2020.0,1930870874.0,2020-05-08,2020-05-06,2020-05-23,USD,94.9,2020-05-08,NAH4,1,1,0,0,0,0,-1.8744432862693072,-1.9841849148418491,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-05-22
34,U001,0200148860,DOLLA corporation,,2020.0,1930753039.0,2020-04-07,2020-04-06,2020-06-11,USD,4975.21,2020-04-07,NAGD,1,1,0,0,0,0,-14.297979797979798,-4.451612903225806,-4.136531365313653,0.5515259611573523,-13,0-15 Days Delay,2020-05-29
55,U001,0200769623,WAL-MAR ,,2020.0,1930586767.0,2020-03-03,2020-03-02,2020-03-18,USD,1898.2,2020-03-03,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.1995221027479093,-2.2172067039106147,0.5515259611573523,-1,0-15 Days Delay,2020-03-17
56,U001,0200794332,COST in,,2020.0,1930594288.0,2020-03-04,2020-03-03,2020-03-19,USD,8793.09,2020-03-04,NAAX,1,1,0,0,0,0,0.044468546637744036,-0.40229885057471265,-0.3619271445358402,0.5515259611573523,1,0-15 Days Delay,2020-03-20
83,U001,0200769623,WAL-MAR foundation,,2020.0,1930822303.0,2020-04-25,2020-04-23,2020-05-10,USD,35617.23,2020-04-25,NAH4,1,1,0,0,0,0,-1.8744432862693072,-2.585858585858586,-2.2172067039106147,0.5515259611573523,-4,0-15 Days Delay,2020-05-06
97,CA02,0140104409,LOB foundation,,2020.0,2960632870.0,2020-05-08,2020-05-08,2020-05-18,CAD,58037.4,2020-05-08,CA10,1,0,0,0,0,0,6.353344208809135,1.32,1.6400966183574879,6.940966010733453,5,0-15 Days Delay,2020-05-23
